t,x_true,y_true,theta_true,x_odom,y_odom,theta_odom,x_ekf,y_ekf,theta_ekf,Pxx,Pxy,Pyy,Ptt,v_meas,w_meas,nis,nees
0.05,0.008664088663084152,0.15014519829677817,-0.0016250474586231936,0.08026626787426605,0.10001863197353138,0.06990817269859839,0.026242255609436015,0.15717123101400868,0.017038881741556544,0.00011864689590319774,0.00011919137664942196,0.00017359084028391262,0.0003606311410529325,0.005338379205617706,0.0019000523765039313,1.6613111708737347,8.792077436681632
0.1,0.01951843351301104,0.15019476772694168,-0.0034900879886467597,0.09156347537269599,0.10079587721830688,0.06747487110281458,0.026383578817770766,0.14368418124475577,-0.01232433291504309,3.481792974289252e-05,3.4549277084922366e-05,7.720082226394609e-05,0.0001874259633819704,0.2264783174645915,-0.04866603191568,2.8951457146658433,5.633445116860823
0.15000000000000002,0.03466771550854196,0.15022259374816335,-0.006206553698804385,0.10730939938764197,0.10183763393583581,0.06465338048102298,0.04121034164897561,0.14477742506921953,-0.018253524322744852,2.1067134029792632e-05,2.187401447980116e-05,5.8556267997080426e-05,0.0001321880260649332,0.3156070628757761,-0.05642981243582878,0.9747344027105398,6.210436359469953
0.2,0.05210881684329871,0.15008439707327276,-0.0065942234725776434,0.12480520379874609,0.10297724525706917,0.0654353763554476,0.054850635548567374,0.14540203525765308,-0.011131141344622897,1.673021317281964e-05,1.7625045973358365e-05,4.846736583976904e-05,0.00010619860187873292,0.35065761170705123,0.015639917488493582,1.7083385295709668,2.3986070844067835
0.25,0.06963593456775183,0.14993567197340257,-0.00574403523442711,0.14245092426275785,0.10413019143915386,0.06505628390282059,0.07024722692278815,0.1465867477463248,-0.0020778767206750537,1.4657601202421772e-05,1.5132674338321827e-05,4.082775722881021e-05,9.194253596140329e-05,0.35366692768067526,-0.007581849052536534,1.9377267410470373,1.1701001169778253
0.3,0.08713539024955201,0.14978787474066496,-0.004797447364107082,0.1599915937286226,0.10529067214351744,0.06707002643081417,0.08926068877111566,0.14740360251836912,0.0014086608475345486,1.3542163239207896e-05,1.3331186347323335e-05,3.468547625172471e-05,8.342087161070823e-05,0.3515803778390664,0.040274850559875966,1.4132872937735965,2.703033500512309
0.35,0.10464305677709,0.14965179526576572,-0.0036765826149472917,0.17761622132204719,0.10648778218484317,0.06856678836995833,0.108580779928172,0.14867422928753718,0.0013099847878801363,1.2931859155114223e-05,1.186615880003767e-05,2.9606559378130483e-05,7.803856488041714e-05,0.35330475712447523,0.029935238782886835,1.5218747819073488,3.7781736291822936
0.39999999999999997,0.12216079168247315,0.14953081461890766,-0.0024187606772380055,0.19505100981130705,0.10769828905802245,0.07007181424052122,0.12784135928393267,0.1533124302067212,0.0009283567915998603,1.2584622164936434e-05,1.0630883291432951e-05,2.55464066882863e-05,7.451483265563712e-05,0.3495352538495267,0.03010051741125363,3.126921182407123,3.2892869682044097
0.44999999999999996,0.13968928700555733,0.14942820065960655,-0.000986107964505123,0.21240222616295795,0.10892218618808067,0.07076826768391475,0.14656215036201173,0.1541488269009366,0.00022639176542060824,1.2389602403494181e-05,9.592343619498761e-06,2.243739001961593e-05,7.21143138581664e-05,0.3478865592669758,0.013929068867872057,1.9914527696518645,4.119333589814391
0.49999999999999994,0.15721262059923394,0.14934741264669332,0.0006636400895347125,0.22986381459198665,0.11017409741178968,0.07237710509939355,0.1636128647202336,0.15309536058208653,0.00887917688019968,1.2300405264558581e-05,8.705303224580867e-06,1.9960918611247804e-05,7.046647517224412e-05,0.35012821553384715,0.0321767483095776,1.7929399492157512,5.25122121535088
0.5499999999999999,0.17476365474889097,0.14928776309889324,0.002472050306240799,0.24756880384913535,0.1114679995815135,0.07352594922436184,0.1821514177031124,0.15382014626163795,0.00802465049066825,1.2284774158943553e-05,7.948525724311307e-06,1.7965594342701863e-05,6.932635263253647e-05,0.3550441449070372,0.02297688249936175,0.9358145838565974,5.415286874546554
0.6,0.1923093003273787,0.1492561101817885,0.004487543793099641,0.2648679185368714,0.11276045761968428,0.07562171248289218,0.19821154033805957,0.15323603490524063,0.012415668131658286,1.2319658197590491e-05,7.294872759559874e-06,1.6359567298940402e-05,6.849625124193564e-05,0.34694663964697764,0.04191526517060871,2.339517264737176,4.141936868784543
0.65,0.20983253172690533,0.14925006974743085,0.006634952389984909,0.28249527333993874,0.11412579830247456,0.07898118472833815,0.2148823122288556,0.15203651024164713,0.013872024448887021,1.239008654829009e-05,6.727054099627534e-06,1.5051891328001448e-05,6.788764275249295e-05,0.353603216344924,0.06718944490892112,0.9207771113037058,3.1573863512863065
0.7000000000000001,0.22738126767714348,0.14927835933418318,0.008988206453428519,0.29994812232548795,0.11553056708257531,0.08165126019596247,0.23229192237494037,0.1528470692643011,0.012694870002510239,1.2486155695628303e-05,6.22638286870719e-06,1.3966996223812926e-05,6.742587590813702e-05,0.350185947848866,0.05340150935248629,1.2893698897685537,2.2583335524235597
0.7500000000000001,0.24491003872415384,0.1493405902371559,0.011485638544625712,0.31749673013417573,0.11698462240573848,0.08368850245977999,0.24928369061589792,0.1531911736475041,0.013815152183079604,1.2599474496276186e-05,5.779917783875418e-06,1.3073467761707475e-05,6.704703095443195e-05,0.3521749679616638,0.040744845276349674,2.289236117750504,1.875801725410595
