t,x_true,y_true,theta_true,x_odom,y_odom,theta_odom,x_ekf,y_ekf,theta_ekf,Pxx,Pxy,Pyy,Ptt,v_meas,w_meas,nis,nees
0.05,0.008664088663084152,0.15014519829677817,-0.0016250474586231936,0.08026626787426605,0.10001863197353138,0.06990817269859839,0.03387771897844276,0.15460584388494664,0.045838691694594313,0.0006697164616817775,0.0006012350836094912,0.0009447617308594522,0.002334168633568448,0.005338379205617706,0.0019000523765039313,1.4682310334206163,4.155799184224915
0.1,0.01951843351301104,0.15019476772694168,-0.0034900879886467597,0.09156347537269599,0.10079587721830688,0.06747487110281458,0.03533132989426868,0.14047573905445443,-0.018705520141543364,0.0002899096500419033,0.0002784661688842044,0.0006044179706995107,0.0013810509799576526,0.2264783174645915,-0.04866603191568,2.4647303981435584,2.7795517057181813
0.15000000000000002,0.03466771550854196,0.15022259374816335,-0.006206553698804385,0.10730939938764197,0.10183763393583581,0.06465338048102298,0.05110731306571317,0.14333710919874135,-0.03261933983988374,0.0001935314038136623,0.00020395812942330951,0.0004952444671781862,0.0009897313882556195,0.3156070628757761,-0.05642981243582878,0.8593558335804423,3.4900816707571196
0.2,0.05210881684329871,0.15008439707327276,-0.0065942234725776434,0.12480520379874609,0.10297724525706917,0.0654353763554476,0.05971058364297056,0.14512125191156025,-0.01705274465119011,0.00015853242291107987,0.0001737490027831223,0.0004234535245242334,0.0007748290788022348,0.35065761170705123,0.015639917488493582,1.4189475936809808,1.1323840712547124
0.25,0.06963593456775183,0.14993567197340257,-0.00574403523442711,0.14245092426275785,0.10413019143915386,0.06505628390282059,0.07175758692245127,0.14744596687734104,0.004369186458515362,0.0001375104349904791,0.000152430926702236,0.0003673510849290365,0.0006401945802540401,0.35366692768067526,-0.007581849052536534,1.7985773068508342,0.5583242944451083
0.3,0.08713539024955201,0.14978787474066496,-0.004797447364107082,0.1599915937286226,0.10529067214351744,0.06707002643081417,0.09311476376198898,0.14909645683212555,0.00923683328123115,0.00012366851894123144,0.00013579406832769567,0.00032111180041037585,0.0005485464336380954,0.3515803778390664,0.040274850559875966,1.5098053239922953,1.7222428423116913
0.35,0.10464305677709,0.14965179526576572,-0.0036765826149472917,0.17761622132204719,0.10648778218484317,0.06856678836995833,0.11492174123435413,0.151505247684707,0.00749590605474193,0.00011401464149017406,0.00012114453475706508,0.0002793560143428795,0.0004824726164297436,0.35330475712447523,0.029935238782886835,1.5772010666659646,2.8305669906838995
0.39999999999999997,0.12216079168247315,0.14953081461890766,-0.0024187606772380055,0.19505100981130705,0.10769828905802245,0.07007181424052122,0.13820837989179252,0.1643708781741325,0.00676013579231638,0.0001063452540364828,0.00010801662791308991,0.00024387126316883213,0.0004329143151008309,0.3495352538495267,0.03010051741125363,3.001534612273425,3.385933023947457
0.44999999999999996,0.13968928700555733,0.14942820065960655,-0.000986107964505123,0.21240222616295795,0.10892218618808067,0.07076826768391475,0.1587967690293992,0.166531483492119,0.004285281519833539,0.00010004170049102751,9.710373336319853e-05,0.00021720534837959217,0.0003944399979344042,0.3478865592669758,0.013929068867872057,2.0523995328297153,4.385982795914683
0.49999999999999994,0.15721262059923394,0.14934741264669332,0.0006636400895347125,0.22986381459198665,0.11017409741178968,0.07237710509939355,0.17397646519768237,0.16263512891687856,0.01696154263040306,9.471588571242855e-05,8.764467248550786e-05,0.00019517403982516487,0.00036414207635049816,0.35012821553384715,0.0321767483095776,1.9446254576665307,5.198840849334073
