t,x_true,y_true,theta_true,x_odom,y_odom,theta_odom,x_ekf,y_ekf,theta_ekf,Pxx,Pxy,Pyy,Ptt,v_meas,w_meas,nis,nees
0.05,0.008664088663084152,0.15014519829677817,-0.0016250474586231936,0.08026626787426605,0.10001863197353138,0.06990817269859839,0.02623927230329012,0.15716383309305876,0.017012995825511634,0.00011866205317467604,0.0001192043265904164,0.00017360607763712292,0.00036081756783861243,0.005338379205617706,0.0019000523765039313,1.6597729761290692,8.786932614893116
0.1,0.01951843351301104,0.15019476772694168,-0.0034900879886467597,0.09156347537269599,0.10079587721830688,0.06747487110281458,0.026522063505518625,0.14486352801403846,-0.015597052705244696,3.5275462382764676e-05,3.422197847641982e-05,7.982550240423216e-05,0.00020593707905625138,0.2264783174645915,-0.04866603191568,2.711066187475297,4.544167216778892
0.15000000000000002,0.03466771550854196,0.15022259374816335,-0.006206553698804385,0.10730939938764197,0.10183763393583581,0.06465338048102298,0.041202936516842564,0.14630474522955766,-0.021670747046034666,2.2706702287086655e-05,2.1304238670153863e-05,6.120194681566653e-05,0.00016815602316970875,0.3156070628757761,-0.05642981243582878,0.87053894600048,4.564497424544563
0.2,0.05210881684329871,0.15008439707327276,-0.0065942234725776434,0.12480520379874609,0.10297724525706917,0.0654353763554476,0.05359835522538049,0.14697528636585117,-0.01197580898993067,2.000849270227722e-05,1.7237404842494104e-05,5.0294412080752215e-05,0.00015440645830596552,0.35065761170705123,0.015639917488493582,1.501200329754805,0.7001331357585161
0.25,0.06963593456775183,0.14993567197340257,-0.00574403523442711,0.14245092426275785,0.10413019143915386,0.06505628390282059,0.06821732036323404,0.14783112782041685,0.002648742471222043,1.951192242642003e-05,1.5128154642276101e-05,4.214935906488149e-05,0.0001486869664970874,0.35366692768067526,-0.007581849052536534,1.6566704847822005,0.6018095167583168
0.3,0.08713539024955201,0.14978787474066496,-0.004797447364107082,0.1599915937286226,0.10529067214351744,0.06707002643081417,0.0888729684046933,0.14853794770058273,0.006503483216574235,2.0040325621542714e-05,1.3863355163558224e-05,3.580587466769011e-05,0.00014597591171184928,0.3515803778390664,0.040274850559875966,1.4664838797996493,1.7523619401346306
0.35,0.10464305677709,0.14965179526576572,-0.0036765826149472917,0.17761622132204719,0.10648778218484317,0.06856678836995833,0.10947159431113858,0.14981322627369695,0.00351719709278564,2.1348257706571933e-05,1.2962391972859217e-05,3.062684164097909e-05,0.0001443571671452336,0.35330475712447523,0.029935238782886835,1.52850600169284,2.3489752630186658
0.39999999999999997,0.12216079168247315,0.14953081461890766,-0.0024187606772380055,0.19505100981130705,0.10769828905802245,0.07007181424052122,0.1284387810741559,0.15433972515387245,-0.0003766950349772813,2.2940234265432852e-05,1.2127442771444029e-05,2.6526689173025817e-05,0.00014320478705664614,0.3495352538495267,0.03010051741125363,3.040697024745245,1.9204847264397866
0.44999999999999996,0.13968928700555733,0.14942820065960655,-0.000986107964505123,0.21240222616295795,0.10892218618808067,0.07076826768391475,0.1484437910611708,0.1551824306490663,-0.0016474908155053036,2.4518358785627823e-05,1.1266393056128274e-05,2.3384876850051242e-05,0.00014219391666207666,0.3478865592669758,0.013929068867872057,1.92382510216286,3.297928441258597
0.49999999999999994,0.15721262059923394,0.14934741264669332,0.0006636400895347125,0.22986381459198665,0.11017409741178968,0.07237710509939355,0.16594126332633297,0.1543372578468064,0.01553606307976274,2.610813777934469e-05,1.0437459864944097e-05,2.0857170307029666e-05,0.00014134190345195088,0.35012821553384715,0.0321767483095776,1.6125696605046813,5.060954503699793
