<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
210610;000000;314.8;316.58;313.76;314.62;29.201.370
210611;000000;314.88;315.08;312.5;313;21.902.100
210614;000000;313.48;314.87;310.4;314.12;25.494.830
210615;000000;314.13;315.6;312.4;312.51;29.704.890
210616;000000;312.5;314.54;311.03;311.61;38.224.960
210617;000000;311;315.42;310.46;313.9;44.164.540
210618;000000;313.44;313.82;308.13;309.3;62.327.060
210621;000000;308.45;310.4;306.56;310.4;36.086.020
210622;000000;310.79;311.17;308.13;309.73;23.511.320
210623;000000;310.4;312;308.69;309.79;24.810.790
210624;000000;309.82;311.2;308.84;310;19.708.450
210625;000000;310.41;312.5;309.82;311.81;22.588.790
210628;000000;311.76;312.06;309.13;309.48;19.409.430
210629;000000;308.7;309.23;303.66;306.1;33.868.700
210630;000000;306.35;306.91;303.34;306.45;31.492.940
210701;000000;306.19;307.35;305;305.78;19.958.090
210702;000000;305.59;308.37;304.71;307.39;28.893.920
210705;000000;307.81;308.11;304.8;307;16.481.560
210706;000000;307.32;307.59;302.37;303.34;32.667.720
210707;000000;303.56;306.2;302.85;304.06;22.612.920
210708;000000;302.99;304.3;300.62;302.63;30.696.840
210709;000000;302.71;304.1;301.22;303.56;20.523.480
210712;000000;303.56;306.27;301.52;306.23;25.280.830
210713;000000;306.85;307.22;302.11;303;21.233.230
210714;000000;302.7;303.69;300.74;301.5;23.920.780
210715;000000;301.19;303.5;299.77;301.72;21.082.200
210716;000000;301.92;304.78;298.57;298.85;34.532.240
210719;000000;298;298.36;290.03;291.46;41.244.150
210720;000000;292.34;296.8;292.3;296.1;35.564.960
210721;000000;296.01;296.94;293.54;294.86;17.526.680
210722;000000;295.77;298.17;294.43;297.27;20.319.290
210723;000000;297.5;298.69;295.04;296.38;14.959.920
210726;000000;293.99;303.68;291.98;303.34;33.887.060
210727;000000;302.66;304.59;299.38;299.71;38.559.430
210728;000000;300.48;302.98;300;302.9;26.896.580
210729;000000;304.14;305.27;303.03;303.12;27.950.010
210730;000000;302.42;306.67;301.12;305.59;49.522.680
210802;000000;306.31;308.63;306.06;306.51;31.506.510
210803;000000;306.31;309.89;306.25;309.89;33.788.860
210804;000000;310.26;312;309.25;311.1;30.666.580
210805;000000;311.02;315.91;310.82;315.82;37.290.300
210806;000000;316.1;320;315.31;319.15;54.096.400
210809;000000;318.56;328.3;317.62;326.91;71.958.140
210810;000000;328.05;331.29;326.97;330.11;41.507.840
210811;000000;330.7;330.98;326.21;329.9;34.418.000
210812;000000;330;330.64;327.3;328.57;20.985.080
210813;000000;328.6;330.27;327.31;328.68;18.758.270
210816;000000;327.56;330.52;327.13;329.36;23.916.510
210817;000000;329;335.7;328.55;334.5;42.463.620
210818;000000;336.05;338.99;333.26;334.9;36.270.350
210819;000000;333.5;334;329.1;332.69;45.936.410
210820;000000;332.2;333.27;325.17;325.67;36.352.850
210823;000000;327.85;329.81;326.55;329.22;20.539.290
210824;000000;330.37;331.22;323.32;324.83;35.650.540
210825;000000;324.29;325.32;321.26;324.57;28.071.640
210826;000000;324.03;325.55;320.58;322.54;27.463.480
210827;000000;323.74;327.5;321.8;327.41;27.792.410
210830;000000;328.42;329.38;326.51;328.28;20.356.090
210831;000000;328.54;330.48;327.3;327.94;32.440.160
210901;000000;328.87;334.64;328.03;334.57;30.671.130
210902;000000;334.67;334.91;328.77;329;31.562.590
210903;000000;329.47;330.53;326.62;329.71;29.597.400
210906;000000;330;331.45;328.5;329.37;17.467.620
210907;000000;329.82;330.73;324.64;325.96;24.443.360
210908;000000;325.96;332.74;322.84;331.7;47.818.530
210909;000000;330.4;330.4;325.69;326.01;29.884.250
210910;000000;328.01;328.43;325.21;326.25;17.390.450
210913;000000;327.02;328.14;324.01;327.41;24.349.520
210914;000000;327.45;328.84;325.48;326.48;22.491.700
210915;000000;326.46;334.6;326.46;333.51;43.810.600
210916;000000;333.04;334.5;324.91;326.99;62.479.270
210917;000000;326.9;331.73;325.7;329.56;54.120.880
210920;000000;327.01;328.85;325;326.92;31.671.550
210921;000000;328.44;329.48;322.39;323.25;47.704.160
210922;000000;325.28;328.9;322.5;327.8;38.085.450
210923;000000;328.94;329.4;325.13;327.02;27.033.650
210924;000000;326.08;326.23;323.62;325.44;24.552.590
210927;000000;326.32;332.46;326.09;331.68;34.346.920
210928;000000;332.06;334.48;328.32;329.3;52.511.780
210929;000000;329.09;330.45;327.15;328.43;27.597.990
210930;000000;329.98;342.2;329.45;340.99;83.549.930
211001;000000;339.21;339.94;336.08;338.48;37.617.680
211004;000000;337.81;349.31;336.22;345.85;59.987.320
211005;000000;346.79;365;344.9;363.2;86.810.410
211006;000000;366;375.48;359.35;364.28;95.588.390
211007;000000;367.69;374;365.88;368.93;49.466.740
211008;000000;369.5;374.55;368;373.01;31.010.000
211011;000000;375.05;388.11;375;387.6;66.555.950
211012;000000;385.9;386.86;376.72;377.79;51.365.340
211013;000000;378.7;380.91;370.81;378.8;54.668.150
211014;000000;382.02;383.13;374.57;376.09;36.290.870
211015;000000;377.5;378.41;370.43;371.82;37.276.570
211018;000000;369.35;369.91;363.75;364.6;38.112.280
211019;000000;365.68;373.4;361.5;373.18;40.008.020
211020;000000;371.83;371.97;367.1;370.16;27.515.020
211021;000000;368.2;371.14;363.2;364.6;24.461.840
211022;000000;364.06;370.39;362.37;364.37;26.322.460
211025;000000;366.19;371.7;361.68;369.99;35.623.260
211026;000000;369.89;374.63;365.66;372.16;41.746.810
211027;000000;371;374;366.51;371.36;36.305.740
211028;000000;370.5;374.92;362.32;365.36;53.785.930
211029;000000;364.33;364.33;352.68;356.14;53.476.690
211101;000000;356.14;371.47;356.14;370.96;55.120.560
211102;000000;370.98;374;367.2;370.7;37.697.650
211103;000000;370;370.5;365.03;370.13;30.833.580
211105;000000;366.98;367.56;358.5;360.21;39.012.570
211108;000000;362.59;363.97;355.6;358.39;39.658.600
211109;000000;358.41;364.58;355.6;357.44;41.687.090
211110;000000;356.68;358.8;348;348.65;46.528.570
211111;000000;350.14;357.89;347.22;356.24;42.860.130
211112;000000;356.24;356.37;339.68;347.59;100.664.120
211115;000000;348.67;352.8;342.76;344.39;59.812.240
211116;000000;345.91;346.47;336.01;337.91;61.959.550
211117;000000;338;343.57;336.6;339.89;49.464.380
211118;000000;338.9;343.12;333.5;336.93;47.108.510
211119;000000;339.37;339.99;325.7;327.56;66.943.180
211122;000000;326.03;326.39;306.67;309.15;144.324.090
211123;000000;306.28;327.01;300.1;326.84;144.820.750
211124;000000;328;329.97;317.35;321.22;77.871.110
211125;000000;322.37;322.96;316.11;317.29;44.048.010
211126;000000;307.13;312;303.22;304.42;90.384.610
211129;000000;311.14;322.15;309.42;316.57;82.133.140
211130;000000;311;318.58;310.09;315;98.128.940
211201;000000;321.35;329.44;319.51;324.4;69.783.520
211202;000000;325.21;329;320.54;326.8;61.404.320
211203;000000;327.6;328.95;318.4;320.66;43.075.790
211206;000000;322;324.16;304.18;307.5;99.674.420
211207;000000;307.5;313.03;300.5;309.79;154.149.090
211208;000000;310.97;316.88;291.57;296.95;241.030.570
211209;000000;297.49;304.94;292.5;300.4;133.927.110
211210;000000;300.41;304.28;294.43;297.44;82.043.690
211213;000000;298.28;300.99;280.08;280.64;146.306.320
211214;000000;280.21;286.09;261.5;284.9;176.473.700
211215;000000;285;287.79;279.44;286.65;87.516.430
211216;000000;287.75;298.7;286.2;295.89;134.776.020
211217;000000;295;296.73;291.61;294.9;109.764.650
211220;000000;293.11;293.11;285.63;288.4;79.622.500
211221;000000;289.8;293.4;286.76;291.7;64.919.700
211222;000000;291.83;297.23;289.23;294;63.855.050
211223;000000;294.68;298.1;291.26;292.8;55.531.330
211224;000000;293;294.18;289;293.89;37.669.750
211227;000000;294.79;296;293.37;295.68;35.728.530
211228;000000;295.84;297.55;294.18;295;37.853.360
211229;000000;295.05;295.55;291.33;293.51;37.668.260
211230;000000;293.61;294.89;291.52;293.49;42.566.850
220103;000000;295.9;305.5;294.34;305.47;50.156.260
220104;000000;305.51;310.1;301.63;304.24;53.268.220
220105;000000;303.56;304.26;287;287.01;70.015.940
220106;000000;286.86;295.1;281;293.92;79.329.410
220110;000000;295.53;298.88;288.68;291.69;67.393.720
220111;000000;292.93;293.94;288.71;291.88;58.894.910
220112;000000;292.5;292.92;285.05;290.4;81.815.210
220113;000000;289.69;290.37;269.9;272.5;211.547.650
220114;000000;272.39;277.98;249.2;261;406.232.780
220117;000000;262.2;264.01;247;257.78;248.613.210
220118;000000;258.8;259.39;228.09;234.7;484.049.150
220119;000000;232.89;249;221.03;244.86;360.884.470
220120;000000;244.12;263;240.01;254.61;329.059.220
220121;000000;252.98;259.08;246;246.9;295.614.320
220124;000000;246.51;249.88;226;236.97;325.615.680
220125;000000;236.99;243.55;231;239.59;232.503.340
220126;000000;240.06;245.17;233.3;236.9;224.800.440
220127;000000;234.99;260;233.1;254.29;301.187.890
220128;000000;255.86;262;252.02;257.82;204.153.960
220131;000000;258.88;269.6;258.81;269.42;156.087.540
220201;000000;269.71;273.1;260.56;264.7;170.357.700
220202;000000;265.8;266.91;254.52;261;170.198.890
220203;000000;258.45;259.87;250.06;250.79;151.127.560
220204;000000;251.99;259.74;251.91;256.53;126.990.670
220207;000000;257;260.53;253.52;257.61;85.547.520
220208;000000;257.61;269.9;256.52;269.8;161.498.400
220209;000000;270.01;279.71;270;279.09;193.232.800
220210;000000;279.21;282.3;273.67;275.2;180.119.880
220211;000000;274.88;275.87;259.61;260.83;213.783.420
220214;000000;256.69;259.5;245.1;256.7;357.398.630
220215;000000;257.6;274;257.51;274;271.473.810
220216;000000;276.88;281;274.15;277.78;195.684.110
220217;000000;277;277;259.36;260.58;262.060.710
220218;000000;262.14;267;245;250.28;270.538.090
220221;000000;249.12;258.32;184.3;201;1.084.339.130
220222;000000;198.72;219.9;182.03;208.53;945.941.710
220224;000000;186.58;187.54;89.59;132.18;828.329.350
